comuna,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
FRUTILLAR,ratio docente media,12.03,14.02,15.45,8.33,12.03,12.03,,12.03,15.5,12.55,15.45,,8.33
FUTALEUFÚ,ratio docente media,8,8,,,8,,8,8,,,8,,
FUTRONO,ratio docente media,10.79,8.38,13.21,,10.79,11.87,7.56,10.79,7.56,11.87,,,
GALVARINO,ratio docente media,13.45,15.9,11,,13.45,13.45,,13.45,13.45,,,,
GENERAL LAGOS,ratio docente media,,,,,,,,,,,,,
GORBEA,ratio docente media,6.92,6.92,,,6.92,6.92,,6.92,8.33,5.5,,,
GRANEROS,ratio docente media,15.34,9.3,17.76,,15.34,15.34,,15.34,17.44,10.66,14.75,21.6,
GUAITECAS,ratio docente media,12.83,12.83,,,12.83,,12.83,12.83,,,12.83,,
HIJUELAS,ratio docente media,14.3,13.15,15.45,,14.3,14.3,,14.3,,14.3,,,
HUALAIHUÉ,ratio docente media,14.39,17.17,8.83,,14.39,8.83,17.17,14.39,,17.17,8.83,,
HUALAÑÉ,ratio docente media,20.07,20.07,,,20.07,20.07,,20.07,20.07,,,,
HUALPÉN,ratio docente media,16.15,9.98,16.62,24.47,16.15,16.15,,16.15,8.19,16.4,15.91,,24.47
HUALQUI,ratio docente media,12.01,10.6,13.42,,12.01,12.01,,12.01,10.6,,13.42,,
HUARA,ratio docente media,16,16,,,16,,16,16,,16,,,
HUASCO,ratio docente media,15.5,15.5,,,15.5,15.5,,15.5,,15.5,,,
HUECHURABA,ratio docente media,17.8,14.96,17.5,18.42,17.8,17.8,,17.8,,15.57,20.75,,18.42
ILLAPEL,ratio docente media,14.73,13.36,16.09,,14.73,14.73,,14.73,14.73,13.22,,16.22,
INDEPENDENCIA,ratio docente media,19,15.36,22.16,15.21,19,19,,19,,22.72,17.87,21.31,15.21
IQUIQUE,ratio docente media,22.44,16.01,21.46,37.78,22.44,22.37,25,22.44,19.72,14.77,19.01,24.32,37.78
ISLA DE MAIPO,ratio docente media,17.65,10.88,24.41,,17.65,17.65,,17.65,10.22,32.29,14.51,24.14,
ISLA DE PASCUA,ratio docente media,9.54,9.37,9.63,,9.54,9.54,,9.54,,,9.37,9.63,
JUAN FERNÁNDEZ,ratio docente media,6.14,6.14,,,6.14,,6.14,6.14,,,6.14,,
LA CISTERNA,ratio docente media,19.29,11.65,20.34,,19.29,19.29,,19.29,23.32,18.17,18.11,20.29,17.17
LA CRUZ,ratio docente media,11.95,9.69,13.08,,11.95,11.95,,11.95,,11.15,12.35,,
LA ESTRELLA,ratio docente media,,,,,,,,,,,,,
LA FLORIDA,ratio docente media,17.59,13.09,18.89,16.15,17.59,17.59,,17.73,11.01,16.02,17.71,20.04,16.51
LA GRANJA,ratio docente media,22.25,13.16,25.28,,22.25,22.25,,22.25,13.34,25.12,22.94,,
LA HIGUERA,ratio docente media,18.17,18.17,,,18.17,18.17,,18.17,,18.17,,,
LA LIGUA,ratio docente media,15.47,12.86,17.44,,15.47,15.47,,15.47,,11.87,16.54,18.42,
LA PINTANA,ratio docente media,17.6,14.21,17.92,,17.6,17.6,,17.6,16.3,18.43,17.73,,
LA REINA,ratio docente media,13.04,17.33,16.18,11.14,13.04,13.04,,13.47,,12.22,18.36,20.11,11.14
LA SERENA,ratio docente media,17.07,15.26,17.91,16.21,17.07,17.24,11.84,17.27,12.68,17.23,18.41,17.66,16.21
LA UNIÓN,ratio docente media,13.6,11.33,14.23,16.67,13.6,12.02,19.93,13.6,12.86,17.63,8.98,13.85,16.67
LAGO RANCO,ratio docente media,11.29,11.29,,,11.29,11.29,,11.29,,7.21,15.38,,
LAGO VERDE,ratio docente media,,,,,,,,,,,,,
LAGUNA BLANCA,ratio docente media,,,,,,,,,,,,,
LAJA,ratio docente media,13.2,13.49,13.05,,13.2,13.2,,13.2,,13.49,12.93,13.17,
LAMPA,ratio docente media,24.67,21.55,21.63,41.5,24.67,24.67,,24.67,22.9,23.57,19.67,23.58,41.5
LANCO,ratio docente media,10.2,10.01,10.33,,10.2,11.02,8.98,10.2,6.92,11.03,,,
LAS CABRAS,ratio docente media,17.76,14.29,19.5,,17.76,17.76,,17.76,14.29,,19.5,,
LAS CONDES,ratio docente media,12.45,10.31,17.02,11.95,12.45,12.45,,12.45,,,13.11,14.8,11.86
LAUTARO,ratio docente media,17.4,17.4,,,17.4,17.4,,17.4,17.02,17.77,,,
LEBU,ratio docente media,11.77,11.77,,,11.77,11.77,,11.77,8,13.65,,,
LICANTÉN,ratio docente media,9.49,7.92,12.63,,9.49,11.23,6,9.49,6,,11.23,,
LIMACHE,ratio docente media,16.82,16.93,16.75,,16.82,16.82,,16.82,,17.79,16.5,15.55,
LINARES,ratio docente media,16.76,13.18,18.03,18.29,16.76,16.76,,16.76,12.53,11.57,19.68,18.48,18.29
LITUECHE,ratio docente media,19.1,19.1,,,19.1,19.1,,19.1,,19.1,,,
LLAILLAY,ratio docente media,13.88,13.57,13.96,,13.88,13.88,,14.1,,15.08,16.13,10.14,
LLANQUIHUE,ratio docente media,12.53,12.57,12.5,,12.53,12.53,,12.53,12.57,,12.5,,
LO BARNECHEA,ratio docente media,11.01,9.03,13.61,10.49,11.01,11.01,,11.01,,13.09,12.09,,10.49
LO ESPEJO,ratio docente media,13.69,7.01,17.03,,13.69,13.69,,13.69,18.23,12.12,14.81,,
LO PRADO,ratio docente media,22.89,13.82,29.69,,22.89,22.89,,18.03,,13.54,19.54,22.5,
LOLOL,ratio docente media,12.03,12.03,,,12.03,12.03,,12.03,12.03,,,,
LONCOCHE,ratio docente media,12.27,10.33,16.15,,12.27,12.27,,12.27,7.38,13.29,16.15,,
LONGAVÍ,ratio docente media,17.66,10.28,32.43,,17.66,21.06,10.88,17.66,9.69,21.65,,,
LONQUIMAY,ratio docente media,10.8,10.8,,,10.8,10.8,,10.8,10.8,,,,
LOS ÁLAMOS,ratio docente media,14.23,11.32,18.6,,14.23,13.03,15.03,14.23,10.51,12.94,24.27,,
LOS ANDES,ratio docente media,16.9,10.9,21.03,20.61,16.9,16.9,,16.9,11.31,14.26,14.25,22.58,20.61
LOS ÁNGELES,ratio docente media,16.56,13.88,17.37,16.88,16.56,16.91,14.11,16.54,16.64,14.35,15.67,18.55,16.88
LOS LAGOS,ratio docente media,19.55,19.55,,,19.55,19.55,,19.55,,19.55,,,
LOS MUERMOS,ratio docente media,12.48,13.69,10.68,,12.48,11.24,17.47,12.48,11.8,17.47,10.68,,
LOS SAUCES,ratio docente media,11.58,11.58,,,11.58,11.58,,11.58,11.58,,,,
LOS VILOS,ratio docente media,20.63,18,23.26,,20.63,20.63,,20.63,,18,23.26,,
LOTA,ratio docente media,14.27,12.26,16.78,,14.27,14.27,,14.27,8.66,16.16,20.5,,
LUMACO,ratio docente media,12.63,12.63,,,12.63,12.63,,12.63,12.63,,,,
MACHALÍ,ratio docente media,16.3,11.08,17.79,16.56,16.3,16.46,14.31,16.3,9.67,18.7,15.78,17.73,16.56
MACUL,ratio docente media,15.7,8.66,17.38,14.37,15.7,15.7,,15.7,,7.02,16.95,18.83,14.37
MÁFIL,ratio docente media,12.17,10.33,14,,12.17,12.17,,12.17,,12.17,,,
MAIPÚ,ratio docente media,20.21,15.25,21.26,17.92,20.21,20.21,,20.04,13.44,17.7,22.48,20.66,16.57
MALLOA,ratio docente media,10.96,10.96,,,10.96,,10.96,10.96,10.96,,,,
MARCHIHUE,ratio docente media,9.76,9.76,,,9.76,9.76,,9.76,9.76,,,,
MARÍA ELENA,ratio docente media,12.05,12.05,,,12.05,12.05,,12.05,,,12.05,,
MARÍA PINTO,ratio docente media,18.22,18.22,,,18.22,18.22,,18.22,18.22,,,,
MARIQUINA,ratio docente media,12.85,9,14.77,,12.85,14.52,9.5,12.85,9.26,14.39,20.53,,
MAULE,ratio docente media,17.38,13,18.11,,17.38,17.68,16.64,17.38,16.23,13,15.61,22.51,
MAULLIN,ratio docente media,12.69,12.69,,,12.69,12.69,,12.69,10.63,14.74,,,
MEJILLONES,ratio docente media,23.72,23.72,,,23.72,23.72,,23.72,,23.72,,,
MELIPEUCO,ratio docente media,12.9,14.42,11.38,,12.9,12.9,,12.9,14.42,11.38,,,
MELIPILLA,ratio docente media,18.18,14.39,19.2,18.14,18.18,18.15,18.75,18.18,13.74,17.54,17.07,23.91,18.14
MOLINA,ratio docente media,15.69,11.73,17.67,,15.69,16.73,7.41,15.69,11.54,14.55,25.69,,
MONTE PATRIA,ratio docente media,17.26,14.85,24.5,,17.26,14.85,24.5,17.26,14.53,15.5,24.5,,
MOSTAZAL,ratio docente media,12.77,13.34,11.64,,12.77,12.77,,12.77,13.36,12.47,,,
MULCHÉN,ratio docente media,11.35,11.35,,,11.35,11.35,,11.35,10.61,12.83,,,
NACIMIENTO,ratio docente media,17.33,15.08,18.45,,17.33,17.33,,17.33,15.08,,20.72,16.18,
NANCAGUA,ratio docente media,15.96,14.21,17.7,,15.96,15.96,,15.96,14.21,17.7,,,
NATALES,ratio docente media,11.85,12.62,11.33,,11.85,11.85,,11.85,,12.62,14.52,9.74,
NAVIDAD,ratio docente media,15.95,15.95,,,15.95,15.95,,15.95,,15.95,,,
NEGRETE,ratio docente media,9.71,11.97,7.45,,9.71,11.97,7.45,9.71,7.45,11.97,,,
NINHUE,ratio docente media,8.76,8.76,,,8.76,8.76,,8.76,8.76,,,,
ÑIQUÉN,ratio docente media,19.59,19.59,,,19.59,8.85,30.33,19.59,30.33,8.85,,,
NOGALES,ratio docente media,13.49,10.08,15.76,,13.49,13.49,,13.49,,10.77,17.56,,
NUEVA IMPERIAL,ratio docente media,14.71,15.5,14.58,,14.71,17.46,7.85,14.66,12.7,15.41,21.75,,
ÑUÑOA,ratio docente media,15.44,16.83,17.49,13.42,15.44,15.44,,15.69,,21.15,14.82,18.05,13.42
O'HIGGINS,ratio docente media,5.17,5.17,,,5.17,,5.17,5.17,,,5.17,,
OLIVAR,ratio docente media,18.28,14.82,21.74,,18.28,20.97,10.2,18.28,19.43,15.41,22.85,,
OLLAGÜE,ratio docente media,1.5,1.5,,,1.5,,1.5,1.5,,,,,1.5
OLMUÉ,ratio docente media,11.87,7.96,19.69,,11.87,14.84,5.93,11.87,10,12.81,,,
OSORNO,ratio docente media,16.07,14.3,17.3,14.28,16.07,16.16,13.74,16.07,18.26,15.51,13.72,17.14,14.28
OVALLE,ratio docente media,17.88,12.92,19.28,25.07,17.88,17.88,,17.88,14.88,18.87,15.69,21.34,23.57
PADRE HURTADO,ratio docente media,20.09,12.71,21.63,17.6,20.09,20.09,,20.09,,12.71,22.41,18.91,20.57
PADRE LAS CASAS,ratio docente media,12.88,,12.88,,12.88,14.68,11.8,12.88,11.71,14.84,,,
PAIGUANO,ratio docente media,7.22,7.22,,,7.22,7.22,,7.22,,7.22,,,
PAILLACO,ratio docente media,16.53,22.52,13.54,,16.53,19.8,10,16.53,10,14.77,24.83,,
PAINE,ratio docente media,21.33,14.69,26.46,13.43,21.33,22.39,14.96,21.33,15.34,14.56,20.43,41.55,13.43
PALENA,ratio docente media,15.5,15.5,,,15.5,,15.5,15.5,,,15.5,,
PALMILLA,ratio docente media,10.94,10.94,,,10.94,,10.94,10.94,,10.94,,,
PANGUIPULLI,ratio docente media,13.12,12.38,13.67,,13.12,13.99,11.96,13.12,13.52,9.35,16.3,,
PANQUEHUE,ratio docente media,8.92,8.7,,9.14,8.92,8.92,,8.92,8.7,,,,9.14
PAPUDO,ratio docente media,11.82,11.06,12.57,,11.82,11.82,,11.82,,11.06,12.57,,
PAREDONES,ratio docente media,12.69,12.69,,,12.69,12.69,,12.69,12.69,,,,
PARRAL,ratio docente media,15.69,12.75,17.46,,15.69,16.64,9.08,15.69,13.41,12.42,17.94,15.56,
PEDRO AGUIRRE CERDA,ratio docente media,15.29,9.41,19.22,,15.29,15.29,,15.29,18.17,9.83,17.42,,
PELARCO,ratio docente media,13.2,13.2,,,13.2,13.2,,13.2,13.2,,,,
PELLUHUE,ratio docente media,15.62,15.62,,,15.62,15.62,,15.62,,15.62,,,
PEMUCO,ratio docente media,11.3,11.3,,,11.3,11.3,,11.3,11.3,,,,
PEÑAFLOR,ratio docente media,18.24,13.81,20.95,9.41,18.24,18.24,,18.24,18.11,17.34,21.16,23.55,9.41
PEÑALOLÉN,ratio docente media,16.56,13.31,19,15.69,16.56,16.56,,16.56,11.52,16.52,15.97,26.07,15.69
PENCAHUE,ratio docente media,7.87,7.87,,,7.87,7.87,,7.87,7.87,,,,
PENCO,ratio docente media,12.6,12.18,13.02,,12.6,12.6,,12.6,,12.18,13.85,12.2,
PERALILLO,ratio docente media,11.76,11.76,,,11.76,11.76,,11.76,11.76,,,,
PERQUENCO,ratio docente media,11.52,10.97,12.08,,11.52,11.52,,11.52,11.52,,,,
PETORCA,ratio docente media,12.88,10.38,17.89,,12.88,14.54,9.56,12.88,,12.88,,,
PEUMO,ratio docente media,13.14,10.34,14.54,,13.14,13.14,,13.14,10.34,,14.54,,
PICA,ratio docente media,17.56,17.56,,,17.56,,17.56,17.56,17.56,,,,
PICHIDEGUA,ratio docente media,13.81,13.81,,,13.81,13.81,,13.81,13.81,,,,
PICHILEMU,ratio docente media,15.36,8.14,20.17,,15.36,15.36,,15.36,,8.14,15.25,30,
PINTO,ratio docente media,11.77,11.68,11.87,,11.77,11.77,,11.77,11.68,11.87,,,
PIRQUE,ratio docente media,11.35,12.59,19.4,7.85,11.35,8.28,17.49,11.35,,14.86,,,7.85
PITRUFQUÉN,ratio docente media,14.94,9.12,16.61,,14.94,15.78,8.25,14.94,12.74,9.12,22.61,10.23,
PLACILLA,ratio docente media,6.8,6.8,,,6.8,6.8,,6.8,6.8,,,,
PORTEZUELO,ratio docente media,14.09,14.56,13.63,,14.09,14.09,,14.09,,14.09,,,
PORVENIR,ratio docente media,12.43,12.43,,,12.43,12.43,,12.43,,,12.43,,
POZO ALMONTE,ratio docente media,17.36,17.36,,,17.36,,17.36,17.36,17.36,,,,
PRIMAVERA,ratio docente media,,,,,,,,,,,,,
PROVIDENCIA,ratio docente media,14.69,19.99,13.96,13.25,14.69,14.69,,15.61,,18.15,17.83,19.68,14.11
PUCHUNCAVÍ,ratio docente media,11.41,11.41,,,11.41,13.61,7,11.41,,11.41,,,
PUCÓN,ratio docente media,15.7,11.91,17.22,,15.7,16.28,12.23,15.7,13.62,9.7,14.11,20.6,17.67
PUDAHUEL,ratio docente media,22.4,13.59,24.75,23.06,22.4,23.32,9.57,22.4,12.07,24.57,19.87,27.78,23.06
PUENTE ALTO,ratio docente media,19.04,14.83,20.31,11.04,19.04,19.27,12.97,19.19,14.04,17.87,20.03,24.24,13.5
PUERTO MONTT,ratio docente media,17.39,12.05,21.43,14.01,17.39,17.77,12.2,17.7,14.99,15.73,20.75,21.14,15.92
PUERTO OCTAY,ratio docente media,15.86,13,18.71,,15.86,15.86,,15.86,13,,18.71,,
PUERTO VARAS,ratio docente media,16.35,11.12,23.28,13.96,16.35,16.03,17.97,16.35,18.23,9.29,27.14,17.14,13.96
PUMANQUE,ratio docente media,11.5,11.5,,,11.5,11.5,,11.5,,11.5,,,
PUNITAQUI,ratio docente media,12.63,8.93,16.33,,12.63,12.63,,12.63,8.93,,16.33,,
PUNTA ARENAS,ratio docente media,14.68,11.45,18.66,12.67,14.68,14.68,,14.68,10.69,11.37,15.08,19.13,13.24
PUQUELDÓN,ratio docente media,,,,,,,,,,,,,
PURÉN,ratio docente media,11.81,11.81,,,11.81,11.81,,11.81,14.73,8.89,,,
PURRANQUE,ratio docente media,15.32,13.13,15.87,,15.32,15.32,,15.32,13.13,15.8,15.94,,
PUTAENDO,ratio docente media,9.3,6.08,11.44,,9.3,9.3,,8.13,,6.08,12,8.33,
PUTRE,ratio docente media,9,9,,,9,,9,9,,9,,,
PUYEHUE,ratio docente media,13.6,9.9,17.31,,13.6,9.9,17.31,13.6,13.6,,,,
QUEILÉN,ratio docente media,10,10,,,10,10,,10,10,,,,
QUELLÓN,ratio docente media,11.24,11.04,11.39,,11.24,11.7,8.46,11.94,12.7,10.23,8.46,14.88,
QUEMCHI,ratio docente media,11.65,11.65,,,11.65,11.65,,11.65,11.65,,,,
QUILACO,ratio docente media,16.33,16.33,,,16.33,16.33,,16.33,,16.33,,,
QUILICURA,ratio docente media,23.34,16.57,24.8,22.24,23.34,23.34,,23.34,16.05,19.91,25.83,26.74,22.24
QUILLECO,ratio docente media,12.28,12.28,,,12.28,12.28,,12.28,,12.28,,,
QUILLÓN,ratio docente media,13.61,10.68,16.55,,13.61,13.61,,13.61,10.68,,16.55,,
QUILLOTA,ratio docente media,15.78,11.4,18.29,15.72,15.78,15.78,,15.78,6.17,14.15,16.62,17.3,15.72
QUILPUÉ,ratio docente media,12.19,9.08,13.52,10.37,12.19,12.19,,12.19,,9.02,13.18,14.43,10.37
QUINCHAO,ratio docente media,12.28,11.98,12.59,,12.28,12.28,,12.28,,11.98,,12.59,
QUINTA DE TILCOCO,ratio docente media,15.54,10.41,20.67,,15.54,15.54,,15.54,,10.41,20.67,,
QUINTA NORMAL,ratio docente media,21.16,14.47,23.59,,21.16,21.16,,21.16,33.78,16.58,23.95,20.19,
QUINTERO,ratio docente media,18.84,11.82,20.59,,18.84,18.84,,18.84,11.82,23.83,19.27,20,
QUIRIHUE,ratio docente media,8.62,10.82,6.43,,8.62,8.62,,8.62,,10.82,6.43,,
RANCAGUA,ratio docente media,17.41,15.84,18.61,14.76,17.41,17.41,,17.29,14.64,16.59,17.92,19.96,14.76
RANQUIL,ratio docente media,8.84,8.84,,,8.84,8.84,,8.84,8.84,,,,
RAUCO,ratio docente media,9.55,9.55,,,9.55,,9.55,9.55,9.55,,,,
RECOLETA,ratio docente media,17.8,11.66,19.38,27.93,17.8,17.8,,18.41,13.96,18.62,16.52,21.06,27.93
RENAICO,ratio docente media,7.55,7.55,,,7.55,10.28,4.83,7.55,7.55,,,,
RENCA,ratio docente media,20.24,22.47,19.72,,20.24,20.24,,20.24,14.1,21.72,23.55,18.27,
RENGO,ratio docente media,18.03,16.31,20.9,,18.03,18.61,14,18.03,16.6,15.89,23,19.86,
REQUÍNOA,ratio docente media,17.71,13.73,21.69,,17.71,17.71,,17.71,,13.73,21.69,,
RETIRO,ratio docente media,12,10.52,16.44,,12,13.56,11.48,12,10.52,16.44,,,
RINCONADA,ratio docente media,10,,10,,10,10,,10,,,10,,
RÍO BUENO,ratio docente media,11.14,11.35,10.82,,11.14,10.92,12,11.14,8.57,12.73,9,12.64,
RÍO CLARO,ratio docente media,17.5,17.5,,,17.5,17.5,,17.5,17.5,,,,
RÍO HURTADO,ratio docente media,7.66,7.66,,,7.66,,7.66,7.66,3.43,11.89,,,
RÍO IBÁÑEZ,ratio docente media,4.6,4.6,,,4.6,,4.6,4.6,,4.6,,,
RÍO NEGRO,ratio docente media,16.21,8.49,23.94,,16.21,16.21,,16.21,14.84,17.58,,,
RÍO VERDE,ratio docente media,,,,,,,,,,,,,
ROMERAL,ratio docente media,16.45,12.79,20.11,,16.45,16.45,,16.45,12.79,20.11,,,
SAAVEDRA,ratio docente media,8.61,13.88,5.98,,8.61,13.88,5.98,8.61,6.29,9.77,,,
SAGRADA FAMILIA,ratio docente media,19.35,19.35,,,19.35,19.35,,19.35,19.35,,,,
SALAMANCA,ratio docente media,19.3,17.45,19.66,,19.3,19.3,,19.3,17.45,20.64,17.96,21.13,
SAN ANTONIO,ratio docente media,16.12,13.72,17,,16.12,16.53,5.8,16.12,12.94,13.73,18.78,16.37,
SAN BERNARDO,ratio docente media,19.73,15.26,21.04,20.03,19.73,19.73,,19.96,19.61,17.89,20.07,22.26,20.03
SAN CARLOS,ratio docente media,12.42,9.73,14.22,,12.42,13.31,4.5,12.42,6.17,14.4,15.02,11.83,
SAN CLEMENTE,ratio docente media,13.51,12.12,16.27,,13.51,14.85,10.82,13.51,13.43,10.82,16.27,,
SAN ESTEBAN,ratio docente media,8.86,8.86,,,8.86,8.86,,8.86,,8.86,,,
SAN FABIÁN,ratio docente media,10.87,10.87,,,10.87,10.87,,10.87,,,10.87,,
SAN FELIPE,ratio docente media,13.51,8.35,15.29,12.69,13.51,13.51,,13.91,14.09,12.07,16.68,13.19,12.69
SAN FERNANDO,ratio docente media,15.38,12.34,16.54,12.93,15.38,15.38,,15.38,14.19,17,17.6,14.19,12.93
SAN GREGORIO,ratio docente media,,,,,,,,,,,,,
SAN IGNACIO,ratio docente media,9.79,8.42,13.89,,9.79,12.7,6.88,9.79,7.48,10.56,,,
SAN JAVIER,ratio docente media,16.32,14.71,16.55,,16.32,16.51,15,16.32,14.71,15.89,16.86,16.63,
SAN JOAQUÍN,ratio docente media,14.62,11.42,15.08,,14.62,14.62,,16.15,,15.85,21.86,12,
SAN JOSÉ DE MAIPO,ratio docente media,13.63,14.81,13.05,,13.63,13.63,,13.63,,14.81,15.82,10.27,
SAN JUAN DE LA COSTA,ratio docente media,11.5,7,16,,11.5,,11.5,11.5,7,16,,,
SAN MIGUEL,ratio docente media,17.5,12.53,18.8,14.16,17.5,17.5,,18.13,,17.7,17.25,20.51,14.91
SAN NICOLÁS,ratio docente media,7.62,7.62,,,7.62,8.68,6.56,7.62,,6.56,8.68,,
SAN PABLO,ratio docente media,10.86,10.96,10.75,,10.86,10.96,10.75,10.86,10.96,10.75,,,
SAN PEDRO,ratio docente media,20.18,20.18,,,20.18,,20.18,20.18,,20.18,,,
SAN PEDRO DE ATACAMA,ratio docente media,12.7,12.7,,,12.7,14.64,10.75,12.7,,14.64,10.75,,
SAN PEDRO DE LA PAZ,ratio docente media,14.94,11.5,16.54,14.37,14.94,14.94,,14.94,6.64,12.12,18.52,15.71,15.37
SAN RAFAEL,ratio docente media,,,,,,,,,,,,,
SAN RAMÓN,ratio docente media,18.82,8.9,23.79,,18.82,18.82,,18.82,16.38,17.22,25.28,,
SAN ROSENDO,ratio docente media,8.5,8.5,,,8.5,8.5,,8.5,,,8.5,,
SAN VICENTE,ratio docente media,13.75,11.51,15.35,,13.75,14.74,10.78,13.75,12.67,11.21,17.36,16.92,
SANTA BÁRBARA,ratio docente media,13.28,11.47,14.19,,13.28,15.4,9.05,13.28,10.26,19.33,,,
SANTA CRUZ,ratio docente media,17.47,15.18,18.27,18.83,17.47,17.47,,17.47,15.18,,18.85,16.54,18.83
SANTA JUANA,ratio docente media,10.75,12.48,9.88,,10.75,10.75,,10.75,12.48,8.17,,11.6,
SANTA MARÍA,ratio docente media,12.09,9.92,13.17,,12.09,12.09,,12.09,,10.75,14.78,,
SANTIAGO,ratio docente media,18.12,14.76,19.86,16.53,18.12,18.12,,18.12,,20.5,16.37,20.2,16.53
SANTO DOMINGO,ratio docente media,13.55,16.71,15.25,7,13.55,15.74,7,13.55,,,17.29,12.63,7
SIERRA GORDA,ratio docente media,9.6,9.6,,,9.6,9.6,,9.6,,,9.6,,
TALAGANTE,ratio docente media,16.97,16.56,18.74,12.91,16.97,16.97,,16.97,18.32,22.13,16.48,15.82,12.91
TALCA,ratio docente media,16.42,11.76,17.1,22.71,16.42,16.48,13.56,16.42,12.88,11.56,18.18,18.69,22.71
TALCAHUANO,ratio docente media,15.04,9.85,18.49,14.2,15.04,15.04,,15.04,8.6,10.85,17.25,18.65,14.2
TALTAL,ratio docente media,20.34,20.34,,,20.34,20.34,,20.34,19.1,21.58,,,
TEMUCO,ratio docente media,15.97,12.8,16.52,17.31,15.97,16.05,11.94,16.13,13.7,13.86,17.56,17.33,17.65
TENO,ratio docente media,10.47,10.05,10.68,,10.47,10.47,,10.47,12.64,,6.14,,
TEODORO SCHMIDT,ratio docente media,11.01,10.57,12.33,,11.01,11.8,8.64,11.01,10.49,11.54,,,
TIERRA AMARILLA,ratio docente media,12.77,12.77,,,12.77,12.77,,,,,,,
TILTIL,ratio docente media,21.05,15.23,26.88,,21.05,23.45,13.88,21.05,,15.23,21.75,32,
TIMAUKEL,ratio docente media,,,,,,,,,,,,,
TIRÚA,ratio docente media,10.13,10.13,,,10.13,10.13,,10.13,10.13,,,,
TOCOPILLA,ratio docente media,19.59,18.57,21.62,,19.59,19.59,,19.59,19.03,18.11,,21.62,
TOLTÉN,ratio docente media,13.23,13.23,,,13.23,13.23,,13.23,13.23,,,,
TOMÉ,ratio docente media,13.59,11.79,17.18,,13.59,13.59,,13.59,10.3,13.53,12.48,21.38,
TORRES DEL PAINE,ratio docente media,,,,,,,,,,,,,
TORTEL,ratio docente media,,,,,,,,,,,,,
TRAIGUÉN,ratio docente media,10.89,11.25,10.66,,10.89,11.97,6.58,10.89,9.7,,12.64,12.75,
TREHUACO,ratio docente media,7.19,7.19,,,7.19,,7.19,7.19,7.19,,,,
TUCAPEL,ratio docente media,14.92,16.42,11.93,,14.92,14.92,,14.92,11,21.83,11.93,,
VALDIVIA,ratio docente media,12.56,10.22,13.9,12.06,12.56,12.56,,12.56,9.48,10.15,11.98,17.06,11.77
VALLENAR,ratio docente media,18.12,17.62,23.53,9.33,18.12,18.12,,18.12,15.88,18.7,20,23.53,9.33
VALPARAÍSO,ratio docente media,14.01,9.57,15.06,17.64,14.01,14.01,,14.26,10.54,11.65,14.58,16,17.64
VICHUQUEN,ratio docente media,8.79,8.79,,,8.79,5.75,11.83,8.79,,8.79,,,
VICTORIA,ratio docente media,14.47,13.54,14.93,,14.47,14.47,,14.47,12.23,14.24,10.92,18.6,
VICUÑA,ratio docente media,15.15,14.5,15.59,,15.15,15.15,,15.15,12.67,11.21,17.29,,
VILCÚN,ratio docente media,12.29,13.52,11.48,,12.29,13.21,8.63,12.29,10.61,13.52,,13.2,
VILLA ALEGRE,ratio docente media,9.67,9.04,10.31,,9.67,9.04,10.31,9.67,9.67,,,,
VILLA ALEMANA,ratio docente media,14.62,10.92,16.09,12.75,14.62,14.62,,14.62,8.5,16.69,13.61,16.95,12.75
VILLARRICA,ratio docente media,14.36,13.08,15.19,10,14.36,13.41,17.2,14.36,12.11,14.72,15.57,15.19,10
VIÑA DEL MAR,ratio docente media,14.34,9.61,16.59,12.46,14.34,14.34,,14.06,8.94,16.02,15.57,14.97,12.39
VITACURA,ratio docente media,12.5,11.61,13.64,12.55,12.5,12.5,,12.5,,,,12.28,12.55
YERBAS BUENAS,ratio docente media,9.57,7.43,13.84,,9.57,10.4,7.9,9.57,13.84,7.43,,,
YUMBEL,ratio docente media,18.44,9.01,27.87,,18.44,20.53,8,18.44,9.51,18.4,27.41,,
YUNGAY,ratio docente media,12.62,10.46,14.07,,12.62,12.93,11.38,12.62,,10.46,15.41,11.38,
ZAPALLAR,ratio docente media,16.28,13.25,22.33,,16.28,18.88,11.08,16.28,,11.08,,18.88,
TODAS,ratio docente media,16.08,12.75,18.16,14.55,16.08,16.3,12.28,16.14,13.1,15.35,17.56,18.85,14.64
ALGARROBO,ratio docente especial,,,,,,,,,,,,,
ALHUÉ,ratio docente especial,,,,,,,,,,,,,
ALTO BIOBÍO,ratio docente especial,,,,,,,,,,,,,
ALTO DEL CARMEN,ratio docente especial,,,,,,,,,,,,,
ALTO HOSPICIO,ratio docente especial,26.3,10.38,31.61,,26.3,26.3,,28.79,,28.79,,,
ANCUD,ratio docente especial,,,,,,,,,,,,,
ANDACOLLO,ratio docente especial,17.33,,17.33,,17.33,17.33,,17.33,,,17.33,,
ANGOL,ratio docente especial,4.9,7,2.8,,4.9,4.9,,4.9,7,,2.8,,
ANTOFAGASTA,ratio docente especial,8.21,6.01,17,,8.21,8.21,,8.21,,5.92,9.73,,
ANTUCO,ratio docente especial,0,0,,,0,0,,0,,,0,,
ARAUCO,ratio docente especial,2.04,2.04,,,2.04,4.13,1,2.04,3.06,0,,,
